# 品名一致化表：型號 → 標準品名（draw-build 產 data.js 時套用）
#
# 為什麼需要：各店的抽選貼文是各自打字的，同一件商品會出現大量寫法差異——
# 空格有無、全半形括號、價格尾綴（850元／-價格550元／(原價$350)）、
# 大小寫（vol.4／Vol.04）、錯字（子彈獅鳶／炫風發射器／專業手納包）。
# 篩選與天梯排序吃的是型號前綴不受影響，但「搜尋」吃品名，
# 搜「子彈獅鷲」會漏掉寫成「獅鳶」的那家；清單上也會同一商品長出好幾個名字。
#
# 規則：
# - 正本 source-links.txt 一律保留各店原文，不要為了統一去改它（那是抄自貼文的證據）。
# - 這裡只列「型號 → 對外顯示的標準品名」，一個型號一列，重複會讓 build 直接 throw。
# - 標準品名含型號前綴，就是頁面上要顯示的完整字串。
# - 型號沒收在這裡的商品不會擋 build，只會沿用原文並在 build 輸出印出來——
#   看到就把新品項補一列進來。
# - 整個沒有型號的品項（開頭就是中文，tagOf 抽不出型號）用「原文全名」當鍵，
#   一字不改地照抄正本那一行。開賣時間註記會自動剝掉再比對，不用為註記另開一列。
#
# 型號	標準品名
# 單顆陀螺的標準品名尾巴接原裝配置（固鎖＋軸心，CX 再前綴輔助刃），來源 products.json。
# UX-19 子彈獅鷲H、UX-20 榮耀武神LF 是沒有固鎖的款式（一體式），品名裡的 H／LF 就是軸心，不用再補。
# BX-00 是多顆共用的特別版型號，鍵加掛品名（tagOf 會產 `BX-00 蒼龍神劍`）；一列 BX-00 會把蒼龍神劍全洗成暴風天馬
BX-00 暴風天馬	BX-00 暴風天馬 3-70RA
BX-00 蒼龍神劍	BX-00 蒼龍神劍 3-60F Ver.2
BX-10	BX-10 極限衝擊戰鬥盤
BX-18	BX-18 X旋風發射器
BX-25	BX-25 戰鬥陀螺X專業收納包
BX-26	BX-26 獨角刺心 5-60GP
BX-32	BX-32 寬型極限衝擊戰鬥盤
BX-33	BX-33 皓戰猛虎 3-60U
BX-35	BX-35 隨機強化組Vol.04
BX-37	BX-37 雙重極限衝擊戰鬥盤 豪華組
BX-40	BX-40 發射器(酒紅)
BX-45	BX-45 武士魂斬 6-70M
BX-50	BX-50 天堂日輪 隨機強化組
BX-51	BX-51 旋風發射器 黑綠
BX-57	BX-57 3V3對戰收納盒 黑
# BXG 沒接編號＝孩之寶聯名的整個系列款，不是 BXG-01/04 任一支
BXG	BXG系列 孩之寶聯名款
# 全名鍵：新店誠品把同一個系列款寫成純中文，沒有 BXG 前綴，tagOf 抽不出型號
孩之寶系列（依照賣場實際款式為主）	BXG系列 孩之寶聯名款
BXG-01	BXG-01 烈焰飛鳳S 3-80T
BXG-04	BXG-04 銀牙烈虎S 4-80P
CX-18	CX-18 腕龍鞭打 隨機強化組
UX-01	UX-01 蒼龍爆刃 1-60A
UX-02	UX-02 惡魔戰錘 3-70H
UX-03	UX-03 魔導神杖 5-70DB
UX-04	UX-04 極限衝擊對戰組U
UX-11	UX-11 衝擊龍神 豪華組 9-60LR
UX-15	UX-15 鮫鯊狂鱗改造組
UX-19	UX-19 子彈獅鷲H
UX-20	UX-20 榮耀武神LF
UX-21	UX-21 惡魔冥界改造組
